heart_rate,time_elapsed,distance,avg_running_cadence,total_calories,speed
168.0,2414.0,5.6759,92.0,8.0,0.0023512427506213753
154.0,2444.0,5.713850000000001,52.0,7.0,0.0023379091653027827
169.0,2481.0,5.92468,86.0,9.0,0.0023880209592906086
156.0,2511.0,5.95832,63.0,7.0,0.0023728872958980484
169.0,2548.0,6.16615,86.0,9.0,0.0024199960753532182
156.0,2579.0,6.19821,77.0,7.0,0.0024033385032958513
170.0,2616.0,6.40974,87.0,9.0,0.0024502064220183486
155.0,2646.0,6.44414,87.0,7.0,0.0024354270597127738
170.0,2683.0,6.65804,86.0,9.0,0.002481565411852404
155.0,2714.0,6.69118,82.0,8.0,0.002465431098010317
170.0,2750.0,6.89558,88.0,9.0,0.0025074836363636363
158.0,2780.0,6.93737,90.0,8.0,0.002495456834532374
170.0,2817.0,7.148149999999999,88.0,9.0,0.002537504437344693
155.0,2848.0,7.18434,67.0,8.0,0.0025225912921348313
164.0,2865.0,7.28551,80.0,5.0,0.002542935427574171
158.0,2881.0,7.31089,92.0,4.0,0.0025376223533495313
165.0,2899.0,7.41196,80.0,4.0,0.0025567299068644357
162.0,2915.0,7.43538,78.0,4.0,0.0025507307032590055
167.0,2936.0,7.54874,87.0,5.0,0.0025710967302452316
162.0,2952.0,7.56865,79.0,4.0,0.0025639058265582654
166.0,2967.0,7.65284,80.0,3.0,0.002579319177620492
162.0,2982.0,7.6762299999999986,82.0,4.0,0.002574188464118041
167.0,3002.0,7.7798,75.0,5.0,0.0025915389740173217
163.0,3018.0,7.80629,76.0,4.0,0.0025865772034459906
169.0,3037.0,7.91041,77.0,4.0,0.002604678959499506
164.0,3052.0,7.93448,87.0,4.0,0.002599764089121887
169.0,3071.0,8.03879,87.0,5.0,0.002617645718007164
163.0,3087.0,8.06401,90.0,4.0,0.002612248137350178
168.0,3106.0,8.16532,86.0,4.0,0.00262888602704443
162.0,3124.0,8.194700000000001,87.0,4.0,0.002623143405889885
169.0,3142.0,8.29418,86.0,4.0,0.0026397772119669005
163.0,3159.0,8.32901,79.0,4.0,0.002636597024374802
169.0,3178.0,8.42771,76.0,5.0,0.0026518911264946507
165.0,3194.0,8.45374,72.0,4.0,0.002646756418284283
165.0,3212.0,8.543479999999999,85.0,4.0,0.0026598630136986296
161.0,3228.0,8.564440000000001,88.0,4.0,0.0026531722428748453
169.0,3246.0,8.6701,92.0,4.0,0.002671010474430068
165.0,3262.0,8.69568,89.0,4.0,0.002665751072961373
170.0,3281.0,8.80053,85.0,4.0,0.0026822706491923193
165.0,3296.0,8.82513,90.0,3.0,0.0026775273058252426
171.0,3314.0,8.92648,88.0,4.0,0.0026935666867833434
168.0,3329.0,8.94987,79.0,4.0,0.002688455992790628
170.0,3346.0,9.03891,87.0,4.0,0.0027014076509264792
164.0,3361.0,9.060709999999998,89.0,4.0,0.0026958375483487054
169.0,3379.0,9.16925,94.0,4.0,0.0027135986978395975
106.0,3646.0,9.17493,95.0,0.0,0.0025164371914426767
161.0,3735.0,9.6048,82.0,17.0,0.0025715662650602406
163.0,3831.0,10.03771,82.0,25.0,0.0026201279039415296
175.0,3865.0,10.254040000000002,90.0,9.0,0.0026530504527813715
88.0,5297.0,10.26602,84.0,0.0,0.0019380819331697185
119.0,5896.0,11.87481,80.0,76.0,0.002014045115332429
121.0,6066.0,12.31963,81.0,21.0,0.0020309314210352784
151.0,6545.0,13.93043,81.0,94.0,0.0021284079449961804
126.0,99.0,0.23059,82.0,9.0,0.002329191919191919
133.0,201.0,0.53688,81.0,17.0,0.002671044776119403
136.0,528.0,1.65637,81.0,65.0,0.003137064393939394
137.0,1052.0,3.26546,80.0,92.0,0.003104049429657795
140.0,1518.0,4.87417,82.0,92.0,0.0032109156785243742
140.0,1995.0,6.48287,82.0,85.0,0.003249558897243108
130.0,479.0,1.61302,82.0,93.0,0.003367473903966597
142.0,942.0,3.21987,81.0,94.0,0.00341812101910828
141.0,1412.0,4.82964,81.0,92.0,0.0034204249291784703
136.0,555.0,1.61116,81.0,97.0,0.002902990990990991
127.0,1066.0,3.22289,81.0,93.0,0.0030233489681050657
135.0,1649.0,4.8309,81.0,77.0,0.002929593693147362
96.0,2294.0,6.43758,80.0,91.0,0.002806268526591107
152.0,2737.0,8.04699,82.0,85.0,0.0029400767263427106
76.0,3497.0,9.31364,82.0,79.0,0.002663322848155562
134.0,3675.0,9.94474,81.0,29.0,0.002706051700680272
142.0,3710.0,10.07128,82.0,6.0,0.002714630727762803
154.0,3729.0,10.19034,92.0,3.0,0.002732727272727273
153.0,3790.0,10.4143,82.0,15.0,0.0027478364116094987
167.0,3812.0,10.54764,94.0,5.0,0.002766956977964323
158.0,3871.0,10.7483,83.0,15.0,0.0027766210281580986
171.0,3896.0,10.90779,94.0,6.0,0.0027997407597535936
146.0,4004.0,11.19163,74.0,24.0,0.0027951123876123877
167.0,4025.0,11.32509,93.0,4.0,0.002813686956521739
157.0,4084.0,11.53078,83.0,15.0,0.002823403525954946
169.0,4106.0,11.66226,91.0,5.0,0.0028402971261568435
160.0,4164.0,11.8662,82.0,15.0,0.0028497118155619595
171.0,4185.0,11.99569,91.0,5.0,0.002866353643966547
161.0,4244.0,12.20257,81.0,15.0,0.002875252120640905
170.0,4264.0,12.32557,90.0,5.0,0.002890612101313321
162.0,4324.0,12.52334,83.0,16.0,0.0028962395929694727
171.0,4345.0,12.65417,91.0,5.0,0.0029123521288837747
162.0,4404.0,12.84481,82.0,15.0,0.0029166235240690283
171.0,4427.0,12.97989,92.0,6.0,0.0029319832843912354
163.0,4484.0,13.17475,83.0,15.0,0.0029381690454950934
174.0,4504.0,13.30155,93.0,5.0,0.00295327486678508
160.0,4584.0,13.5626,82.0,21.0,0.0029586823734729494
147.0,4991.0,13.79556,80.0,6.0,0.0027640873572430374
171.0,5335.0,15.40201,84.0,91.0,0.002886974695407685
172.0,5338.0,15.41786,84.0,0.0,0.0028883214687148743
156.0,523.0,1.6096700000000002,83.0,98.0,0.0030777629063097516
60.0,2416.0,2.38802,83.0,47.0,0.0009884188741721854
77.0,3563.0,2.42984,59.0,3.0,0.0006819646365422397
142.0,3710.0,2.85391,83.0,25.0,0.0007692479784366577
137.0,4308.0,4.46593,82.0,92.0,0.0010366597028783659
144.0,434.0,1.61095,81.0,84.0,0.003711866359447005
142.0,867.0,3.2242800000000003,81.0,93.0,0.0037188927335640143
159.0,1304.0,4.82898,81.0,94.0,0.0037032055214723924
150.0,1742.0,6.43738,81.0,109.0,0.0036953960964408727
148.0,2180.0,8.04829,82.0,93.0,0.003691876146788991
145.0,2630.0,9.65803,82.0,93.0,0.003672254752851711
147.0,462.0,1.6116199999999998,81.0,97.0,0.003488354978354978
139.0,1261.0,3.2200900000000003,82.0,85.0,0.002553600317208565
86.0,1654.0,3.49457,80.0,17.0,0.0021127992744860943
165.0,1733.0,3.91512,86.0,15.0,0.002259157530294287
168.0,1815.0,4.3486400000000005,84.0,22.0,0.0023959449035812676
171.0,1899.0,4.7805,83.0,23.0,0.0025173775671406004
172.0,1982.0,5.21746,83.0,23.0,0.0026324217961654892
89.0,2222.0,5.35037,60.0,16.0,0.0024079072907290727
165.0,2302.0,5.770479999999999,85.0,19.0,0.0025067245873153774
171.0,2386.0,6.200939999999999,84.0,23.0,0.002598885163453478
172.0,2470.0,6.6295,83.0,23.0,0.002684008097165992
172.0,2554.0,7.068770000000001,84.0,23.0,0.0027677251370399375
96.0,2794.0,7.1938,60.0,15.0,0.0025747315676449534
168.0,2874.0,7.62235,84.0,16.0,0.0026521746694502437
171.0,2958.0,8.05612,83.0,23.0,0.0027235023664638268
173.0,3044.0,8.491950000000001,83.0,23.0,0.0027897339027595273
173.0,3127.0,8.92665,84.0,23.0,0.002854700991365526
98.0,3368.0,9.05782,59.0,15.0,0.00268937648456057
168.0,3448.0,9.47398,83.0,15.0,0.0027476740139211133
171.0,3534.0,9.90151,83.0,23.0,0.0028017855121675156
174.0,3621.0,10.34001,83.0,24.0,0.0028555675227837614
174.0,3702.0,10.77362,85.0,22.0,0.0029102160994057265
102.0,4034.0,10.82824,65.0,12.0,0.0026842439266236986
134.0,321.0,1.60996,81.0,75.0,0.005015451713395639
128.0,794.0,3.22013,81.0,93.0,0.004055579345088161
133.0,1270.0,4.82841,81.0,88.0,0.0038018976377952756
140.0,1731.0,6.43834,80.0,89.0,0.003719433853264009
141.0,2206.0,8.04824,81.0,86.0,0.0036483408884859475
146.0,2658.0,9.65815,82.0,87.0,0.0036336155003762224
141.0,307.0,1.61277,81.0,104.0,0.0052533224755700325
81.0,650.0,2.39067,81.0,46.0,0.003677953846153846
117.0,667.0,2.43982,96.0,0.0,0.0036579010494752627
142.0,691.0,2.49308,76.0,3.0,0.003607930535455861
126.0,766.0,2.57126,83.0,0.0,0.0033567362924281988
137.0,820.0,2.648,67.0,2.0,0.003229268292682927
149.0,447.0,1.61056,81.0,102.0,0.0036030425055928413
94.0,546.0,1.72383,80.0,6.0,0.003157197802197802
166.0,904.0,3.33615,82.0,94.0,0.0036904314159292035
165.0,1271.0,4.94566,81.0,98.0,0.0038911565696302126
165.0,1644.0,6.55324,81.0,100.0,0.003986155717761557
166.0,2014.0,8.16421,82.0,100.0,0.004053728897715989
163.0,2443.0,9.77554,81.0,99.0,0.004001449038067949
166.0,2824.0,11.38186,80.0,102.0,0.004030403682719547
169.0,3202.0,12.99195,81.0,100.0,0.004057448469706433
170.0,3563.0,14.600370000000002,82.0,98.0,0.004097774347460006
157.0,413.0,1.60989,80.0,92.0,0.003898038740920097
163.0,801.0,3.22289,81.0,103.0,0.004023583021223471
163.0,1238.0,4.828810000000001,81.0,98.0,0.0039004927302100168
162.0,1276.0,4.99412,82.0,8.0,0.003913887147335423
136.0,790.0,1.61122,80.0,98.0,0.0020395189873417723
156.0,943.0,2.14283,78.0,35.0,0.002272354188759279
96.0,1166.0,2.14513,78.0,0.0,0.0018397341337907376
167.0,1245.0,2.57746,84.0,17.0,0.0020702489959839357
172.0,1323.0,3.0093400000000003,84.0,22.0,0.0022746334089191233
113.0,1424.0,3.08401,65.0,15.0,0.002165737359550562
170.0,1502.0,3.50705,84.0,17.0,0.0023349201065246336
174.0,1584.0,3.93388,83.0,23.0,0.002483510101010101
115.0,1684.0,4.00602,59.0,12.0,0.002378871733966746
171.0,1764.0,4.436310000000001,82.0,18.0,0.002514914965986395
173.0,1846.0,4.87134,83.0,23.0,0.002638862405200433
116.0,1946.0,4.939100000000001,70.0,14.0,0.002538078108941419
170.0,2027.0,5.367850000000001,82.0,19.0,0.0026481746423285646
173.0,2111.0,5.79178,82.0,23.0,0.0027436191378493605
120.0,2212.0,5.85983,64.0,15.0,0.0026491094032549726
171.0,2294.0,6.28632,81.0,19.0,0.0027403312990409764
174.0,2377.0,6.71776,83.0,23.0,0.002826150610012621
124.0,2478.0,6.77771,65.0,9.0,0.0027351533494753832
170.0,2561.0,7.20503,83.0,19.0,0.0028133658727059743
173.0,2645.0,7.6386,83.0,24.0,0.0028879395085066165
127.0,2746.0,7.70518,60.0,15.0,0.0028059650400582667
172.0,2828.0,8.12659,82.0,19.0,0.0028736173974540312
174.0,2915.0,8.5604,82.0,24.0,0.0029366723842195537
124.0,3016.0,8.61066,66.0,9.0,0.002854993368700265
173.0,3097.0,9.03215,83.0,18.0,0.0029164191152728446
175.0,3175.0,9.45584,85.0,22.0,0.0029782173228346458
110.0,3615.0,9.52673,68.0,14.0,0.0026353333333333337
154.0,4166.0,11.13437,80.0,97.0,0.0026726764282285166
131.0,492.0,1.6101500000000002,80.0,99.0,0.0032726626016260168
139.0,1021.0,3.2230700000000003,79.0,91.0,0.0031567776689520083
145.0,1501.0,4.82863,79.0,103.0,0.0032169420386409064
135.0,2009.0,6.43928,80.0,104.0,0.003205216525634644
78.0,1.0,1.69987,81.0,5.0,1.69987
154.0,61.0,1.9253,79.0,9.0,0.031562295081967215
170.0,242.0,2.7814,84.0,49.0,0.011493388429752066
153.0,423.0,3.45738,80.0,47.0,0.008173475177304965
171.0,604.0,4.329,83.0,49.0,0.007167218543046357
